id,text,canonized,text_length,description,random,regex,sanskrit,translation,notes
1.1,,,2,ra-sa,⚄ random: ja-ga,sa?ra?,"हर
hara",Destroyer[MBh],
2.1,,,2,ra-sa,⚄ random: ja-ga,sa?ra?,"हर
hara",Destroyer[MBh],
3.1,,,2,ra-sa,⚄ random: ja-ga,sa?ra?,"हर
hara",Destroyer[MBh],
4.1,,,2,ma-.,⚄ random: i-t,.ma?,*.ma,,
5.1,,,2,an-ama,⚄ random: i-b,ama?an,"अमन्
aman",Roarer[√अम् + शतृँ],
6.1,,,3,an-ra-va,⚄ random: i-l-ba,va?ra?an,"वरान्
varān",blessings[RV],
7.1,,,4,na-ra-daa-ja,⚄ random: ma-la-u-j,ja?daa?ra?na?,"जड-अर्ण
jaḍa-arṇa",cold[Pañcat] stream[RV],
8.1,,,5,an-aa-j-an-ama,⚄ random: i-j-ja-ma-ba,ama?anjaa?an,"अमन् जान
aman jāna",Roarer[√अम् + शतृँ]; Creator[RV],
9.1,,,6,an-sa-aa-am-an-ga,⚄ random: i-g-ra-ba-da-i,ga?anamaa?sa?an,"घन-अम-आहन्
ghana-ama-āhan",Destroyer[RV] O powerful[RV] killer[RV],
10.1,,,3,ya-da-u,⚄ random: ya-ta-ja,uda?ya?,"उदय
udaya",Rising Sun[ŚBr],
11.1,,,5,ma-adaa-an-da-ta,⚄ random: ta-ca-i-m-ma,ta?da?anadaa?ma?,"तदन्न-धाम
tadanna-dhāma",Institute[RV] of regular food[RV],
12.1,,,6,an-aa-.-.-va-.,⚄ random: i-t-ta-ta-ta-ta,.va?..aa?an,*.va..aaan,,
13.1,,,6,an-pa-aa-v-ra-.,⚄ random: i-k-ta-na-ra-ta,.ra?vaa?pa?an,*.ravaapaan,,
14.1,,,3,.a-ca-sa,⚄ random: ta-ga-da,sa?ca?.a?,*saca.a,,
15.1,,,2,.a-ta,⚄ random: ta-sa,ta?.a?,*ta.a,,
16.1,,,2,ra-ta,⚄ random: la-sa,ta?ra?,"तर
tara",Transcender[=Shiva;MBh],
17.1,,,2,ra-ca,⚄ random: la-u,ca?ra?,"चर
cara",Wanderer[=Shiva;RV:√चर् + अच्],
18.1,,,6,ra-da-sa-da-va-ra,⚄ random: ja-ya-da-ma-na-ra,ra?va?da?sa?da?ra?,"रव दस-दर
rava dasa-dara",Roarer[√रु + अच्] destroyer[RV] of Dasa[RV:6.21.11],
19.1,,,7,nmna-ja-va-la-ca-daa-i,⚄ random: i-p-na-sa-ma-u-b,idaa?ca?la?va?ja?nmna?,"इद्धा-अचल-वज नमन
iddhā-acala-vaja namana",Saluting the one who roams the glowing[RV] mountains[RV 10.180.2],
20.1,,,6,ra-da-ta-va-na-ta,⚄ random: la-ga-va-na-ma-ma,ta?na?va?ta?da?ra?,"तनवत्-दर
tanavat-dara",Roaring[√तन् + अच् + मतुप्] Destroyer[RV],
21.1,,,5,.a-va-ma-.-.,⚄ random: ta-ta-ga-ta-ta,..ma?va?.a?,*..mava.a,,
22.1,,,5,ma-as-la-na-ta,⚄ random: ba-ta-ra-ma-ma,ta?na?la?asma?,"तन-लासम्
tana-lāsam",Roarer's[RV] dance[Rt],
23.1,,,2,an-as,⚄ random: ta-ya,asan,"आहन
āhana",Slayer[आ + √हन् + अच्],
24.1,,,1,ta,⚄ random: sa,ta?,"त[म्]
ta[m]",him[√तद्],
25.1,,,1,.a,⚄ random: ta,.a?,*.a,,
26.1,,,2,na-aa,⚄ random: na-ca,aa?na?,"आन
āna",that one breathed[RV 10.129.2],
27.1,,,7,aa-an-ma-va-na-as-rara,⚄ random: ta-i-i-n-ma-na-ya,rara?asna?va?ma?anaa?,"ररास नवमान
rarāsa navamāna",(He) roars[√रस् लिट् 1s.] O wanderer[√नु Ā + शानच्],
28.1,,,2,ma-sa,⚄ random: i-v,sa?ma?,"शम्
śam",blessing[RV],
29.1,,,2,an-as,⚄ random: i-j,asan,"आहन
āhana",Slayer[आ + √हन् + अच्],
30.1,,,2,va-ra,⚄ random: na-ba,ra?va?,"रव
rava",Roarer(Rudra)[√रु + अच्],
31.1,,,2,va-ra,⚄ random: na-ba,ra?va?,"रव
rava",Roarer(Rudra)[√रु + अच्],
32.1,,,2,an-ta,⚄ random: i-v,ta?an,"तन
tana",Destroyer[√तन् + अच्],
33.1,,,2,ra-ca,⚄ random: la-ga,ca?ra?,"चर
cara",Wanderer[=Shiva;RV:√चर् + अच्],
34.1,,,1,sa,⚄ random: ta,sa?,"ह
ha",Verily[Ved],
35.1,,,1,ra,⚄ random: ka,ra?,"र
ra",giving[Śiś],
36.1,,,2,va-ra,⚄ random: na-ba,ra?va?,"रव
rava",Roarer(Rudra)[√रु + अच्],
37.1,,,4,naaman-va-la-aa,⚄ random: va-na-ga-ta,aa?la?va?naaman,"आलव नामन्
ālava nāman",Reaper's[आ + √लु + अच्] sign[RV],
38.1,,,3,.a-va-ra,⚄ random: ta-na-ra,ra?va?.a?,*rava.a,,
39.1,,,2,an-sa,⚄ random: i-p,sa?an,"शम्
śam",blessings[RV],
40.1,,,4,ya-ja-ma-ka,⚄ random: ma-pa-ya-va,ka?ma?ja?ya?,"कम् जय
kam jaya",perfect[ŚBr] victory[RV],
41.1,,,3,na-ma-va,⚄ random: na-i-n,va?ma?na?,*vamana,,
42.1,,,8,ja-aa-.-ya-aa-b-aa-a,⚄ random: da-ta-ta-la-i-r-ra-i,aaa?baa?ya?.aa?ja?,*aaabaaya.aaja,,
43.1,,,5,.a-.-.-aa-an,⚄ random: ta-ta-ta-pa-ja,anaa?...a?,*anaa...a,,
44.1,,,3,ta-la-ca,⚄ random: i-g-ma,ca?la?ta?,"चलत
calata",wander[√चल् लोट् 2p.],
45.1,,,1,an,⚄ random: da,an,"आन
āna",that one breathed[RV 10.129.2],
46.1,,,2,an-.,⚄ random: i-t,.an,*.an,,
47.1,,,1,nmna,⚄ random: aa,nmna?,"नमन्
naman",saluting[√नम् + शतृँ],
48.1,,,2,an-.,⚄ random: ja-ta,.an,*.an,,
49.1,,,3,.a-.-.,⚄ random: ta-ta-ta,...a?,*...a,,
50.1,,,3,ra-ja-ja,⚄ random: la-pa-pa,ja?ja?ra?,"जजर
jajara",giver of warriors[Śiś],
51.1,,,1,sa,⚄ random: da,sa?,"ह
ha",Verily[Ved],
52.1,,,3,naaman-va-ra,⚄ random: va-na-ra,ra?va?naaman,"रव-नामन्
rava-nāman",Roarer's(Rudra)[√रु + अच्] sign[RV],
53.1,,,5,ma-.-an-as-an,⚄ random: i-t-i-n-ma,anasan.ma?,*anasan.ma,,
54.1,,,3,an-asaa-an,⚄ random: i-b-ma,anasaa?an,"अन-हान
ana-hāna",Cessation[VS] of breath[ŚBr],
55.1,,,3,.a-.-aa,⚄ random: ta-ta-aa,aa?..a?,*aa..a,,
56.1,,,3,aa-an-va,⚄ random: pa-ma-sa,va?anaa?,"वना
vanā",kindling wood[RV],
57.1,,,2,an-ra,⚄ random: i-j,ra?an,"रण
raṇa",joy[RV],
58.1,,,2,an-ba,⚄ random: i-m,ba?an,"भन
bhana",Roarer[√भन् + अच्],
59.1,,,1,aka,⚄ random: ka,aka?,"आ-ख
ā-kha",from[RV] the sky[ŚBr],
60.1,,,2,da-an,⚄ random: ta-ja,anda?,"अन्ध(स्)
andha(s)",Soma juice[RV],
61.1,,,4,ra-ja-va-ra,⚄ random: la-pa-na-ba,ra?va?ja?ra?,"रव जर
rava jara",Roarer[√रु + अच्]; Destroyer[√जॄ + अच्] ,
62.1,,,7,.a-aa-m-ma-sa-va-ra,⚄ random: ta-ja-sa-i-d-na-ra,ra?va?sa?ma?maa?.a?,*ravasamamaa.a,,
63.1,,,6,.a-ma-sa-ja-an-ma,⚄ random: ta-i-k-ja-ma-sa,ma?anja?sa?ma?.a?,*maanjasama.a,,
64.1,,,7,nadan-sa-aa-navana-aa-m-da,⚄ random: da-da-pa-ma-pa-ya-la,da?maa?navanaaa?sa?nadan,"दम-आनव नाश-नदन
dama-ānava nāśa-nadana",Restrained[ŚBr]; Kind to men[RV]; Destroyer[√नश्]; Roarer[Nir],
65.1,,,3,an-sa-ama,⚄ random: i-n-ba,ama?sa?an,"अम-हन्
ama-han",Powerful[RV] killer[RV],
66.1,,,5,ra-da-ma-ma-da,⚄ random: la-ya-ya-ka-ga,da?ma?ma?da?ra?,"दमम् धर
damam dhara",possessing[MBh] self-control[ŚBr],
67.1,,,4,an-as-ma-ka,⚄ random: i-m-ya-va,ka?ma?asan,"कम् आहन्
kam āhan",Perfect[ŚBr] Killer[RV],
68.1,,,5,an-ma-an-sa-da,⚄ random: i-n-da-la-ta,da?sa?anma?an,"दहन-मान
dahana-māna",fire[MBh] worshipper[मान्  + अच्],
69.1,,,5,an-sa-sa-va-ra,⚄ random: i-l-da-na-ra,ra?va?sa?sa?an,"रव सहन्
rava sahan",Roarer[√रु + अच्]; Vanquisher[RV],
70.1,,,6,sa-aa-y-an-ma-ama,⚄ random: da-pa-ma-i-s-ba,ama?ma?anyaa?sa?,"अम-मान्य आस
ama-mānya āsa",Powerful[RV] honored[MBh] Presider[√आस्],
