Substring,Unicode,Frequency,IsCanonical
 ,\ue3e7,3,False
 a,\ue3e7,13,False
.,\ue000,1173,False
.a,\ue000,629,False
a,\ue001,30,False
a,\ue01f,21,False
a,\ue05a,19,False
a,\ue08e,15,False
a,\ue089,7,False
a,\ue384,6,False
a,\ue062,5,False
a,\ue388,5,False
a,\ue1e4,3,False
a,\ue05f,2,False
a,\ue064,2,False
a,\ue068,2,False
a,\ue1b3,1,False
a,\ue1ef,1,False
a,\ue1f6,1,False
a,\ue1f7,1,False
a,\ue383,1,False
a,\ue387,1,False
a,\ue39c,1,False
aa,\ue01f,221,False
aa,\ue001,172,False
aa,\ue05a,169,False
aa,\ue064,127,False
aa,\ue384,103,False
aa,\ue1f7,81,False
aa,\ue1b3,72,False
aa,\ue08e,60,False
aa,\ue388,59,False
aa,\ue39b,45,False
aa,\ue1f5,30,False
aa,\ue05f,28,False
aa,\ue1ef,27,False
aa,\ue068,23,False
aa,\ue1f4,22,False
aa,\ue1eb,18,False
aa,\ue1b4,17,False
aa,\ue1e4,11,False
aa,\ue39f,11,False
aa,\ue089,9,False
aa,\ue39c,9,False
aa,\ue25b,7,False
aa,\ue061,6,False
aa,\ue25c,6,False
aa,\ue062,5,False
aa,\ue258,5,False
aa,\ue05b,4,False
aa,\ue060,4,False
aa,\ue05d,3,False
aa,\ue069,3,False
aa,\ue1ea,3,False
aa,\ue1f6,3,False
aa,\ue383,3,False
aa,\ue387,3,False
aa,\ue1ee,2,False
aa,\ue385,2,False
aa,\ue063,1,False
aa,\ue06a,1,False
aa,\ue06b,1,False
aa,\ue08a,1,False
aa,\ue08f,1,False
aa,\ue092,1,False
aa,\ue1ec,1,False
aa,\ue1ed,1,False
aa,\ue25a,1,False
aa,\ue39d,1,False
aaa,\ue05b,23,False
aaa,\ue061,13,False
aaa,\ue065,8,False
aaa,\ue067,5,False
aaa,\ue05d,4,False
aaa,\ue08f,3,False
aaa,\ue092,3,False
aaa,\ue029,2,False
aaa,\ue066,1,False
aaa,\ue093,1,False
aan,\ue2bd,1,False
aaravaa,\ue3a2,4,False
abaa,\ue23d,1,False
ada,\ue07e,2,False
ada,\ue149,1,False
ada,\ue2cf,1,False
adaa,\ue0aa,1,False
aja,\ue02c,1,False
ajaa,\ue02f,1,False
ajaa,\ue039,1,False
ak,\ue2a6,2,False
aka,\ue2a7,19,False
aka,\ue2af,5,False
aka,\ue2a6,1,False
akaa,\ue2b0,2,False
ala,\ue1c6,1,False
am,\ue0eb,8,False
ama,\ue0eb,233,False
ama,\ue0f3,11,False
ama,\ue04b,1,False
ama,\ue0dd,1,False
ama,\ue0df,1,False
ama,\ue178,1,False
ama,\ue1f9,1,False
ama,\ue2d9,1,False
ama,\ue3a4,1,False
amaa,\ue206,6,False
amaa,\ue0dd,4,False
amaa,\ue205,2,False
amaa,\ue049,1,False
amaa,\ue0df,1,False
amataa,\ue3ae,10,False
amataa,\ue3af,1,False
an,\ue2e4,1852,False
an,\ue2bc,573,False
an,\ue2c1,216,False
an,\ue2e5,211,False
an,\ue2c2,96,False
an,\ue2e6,53,False
an,\ue2e9,35,False
an,\ue2bf,11,False
an,\ue2ea,9,False
an,\ue2be,8,False
an,\ue2eb,7,False
an,\ue06e,6,False
an,\ue2c0,5,False
an,\ue2e8,5,False
an,\ue2e0,4,False
an,\ue2ec,3,False
an,\ue2dc,2,False
an,\ue2e7,2,False
an,\ue2ee,2,False
an,\ue033,1,False
an,\ue268,1,False
an,\ue2c3,1,False
an,\ue2d2,1,False
an,\ue2dd,1,False
an,\ue2de,1,False
an,\ue2df,1,False
ana,\ue06f,2,False
anaa,\ue06f,12,False
anaa,\ue070,2,False
anaa,\ue03a,1,False
anaa,\ue074,1,False
anaa,\ue2db,1,False
anaara,\ue073,1,False
anan,\ue2ba,10,False
anan,\ue2bb,1,False
ananan,\ue2b9,10,False
annaa,\ue2ca,1,False
antaraa,\ue2ef,1,False
apa,\ue3a3,2,False
ara,\ue187,9,False
ara,\ue13c,2,False
ara,\ue30c,2,False
ara,\ue2fc,1,False
araa,\ue19c,1,False
araa,\ue319,1,False
as,\ue31e,146,False
as,\ue226,120,False
as,\ue22b,24,False
as,\ue212,16,False
as,\ue22a,15,False
as,\ue0be,11,False
as,\ue22c,11,False
as,\ue0cc,8,False
as,\ue012,7,False
as,\ue234,6,False
as,\ue01c,5,False
as,\ue0c9,5,False
as,\ue0ca,5,False
as,\ue11d,5,False
as,\ue1c8,5,False
as,\ue213,5,False
as,\ue0c8,4,False
as,\ue31d,4,False
as,\ue0c0,3,False
as,\ue0c1,3,False
as,\ue11e,3,False
as,\ue204,3,False
as,\ue231,3,False
as,\ue0c3,2,False
as,\ue0cd,2,False
as,\ue11f,2,False
as,\ue135,2,False
as,\ue216,2,False
as,\ue21d,2,False
as,\ue227,2,False
as,\ue230,2,False
as,\ue3a5,2,False
as,\ue053,1,False
as,\ue054,1,False
as,\ue0ce,1,False
as,\ue0cf,1,False
as,\ue0d0,1,False
as,\ue0d1,1,False
as,\ue1ca,1,False
as,\ue233,1,False
as,\ue321,1,False
as,\ue37e,1,False
asaa,\ue030,18,False
asaa,\ue031,6,False
asaa,\ue2a9,5,False
asaa,\ue07a,2,False
asaa,\ue032,1,False
asaa,\ue055,1,False
asaa,\ue0cb,1,False
asaas,\ue228,8,False
asaas,\ue31f,4,False
asaas,\ue0bf,2,False
asas,\ue215,2,False
asi,\ue235,15,False
asi,\ue214,1,False
asvaa,\ue251,1,False
ata,\ue109,1,False
ata,\ue10b,1,False
ata,\ue10f,1,False
ataa,\ue10d,10,False
ataa,\ue10b,6,False
ataa,\ue08d,1,False
ataa,\ue177,1,False
ataa,\ue1a2,1,False
atmaa,\ue3ac,2,False
ava,\ue255,8,False
avaa,\ue24f,1,False
ayaa,\ue0d9,2,False
ayaa,\ue119,2,False
b,\ue249,11,False
b,\ue0a5,3,False
b,\ue17c,2,False
b,\ue271,2,False
b,\ue17e,1,False
b,\ue180,1,False
ba,\ue249,47,False
ba,\ue180,31,False
ba,\ue0a5,26,False
ba,\ue17e,19,False
ba,\ue271,9,False
ba,\ue17c,6,False
ba,\ue23c,6,False
ba,\ue182,2,False
ba,\ue0a6,1,False
ba,\ue181,1,False
ba,\ue183,1,False
ba,\ue240,1,False
ba,\ue25e,1,False
baba,\ue17d,3,False
baba,\ue24a,2,False
bada,\ue1ce,1,False
c,\ue15e,10,False
c,\ue004,6,False
c,\ue160,2,False
c,\ue022,1,False
c,\ue15f,1,False
c,\ue161,1,False
c,\ue162,1,False
ca,\ue022,182,False
ca,\ue004,87,False
ca,\ue15e,32,False
ca,\ue162,14,False
ca,\ue161,8,False
ca,\ue160,3,False
ca,\ue15f,1,False
ca,\ue392,1,False
